attempts_ge,unique_users_ge,unique_passwords_ge,max_mean_interarrival_s,sample_precision,sample_recall,sample_f1,sample_tp,sample_fp,sample_fn,alerts_full_count,alerts_full_rate,label_text
10,5,5,-1.000000,1.000000,0.894737,0.944444,34,0,4,6681,0.064794,a10_u5_p5_mioff
10,5,5,2.000000,1.000000,0.894737,0.944444,34,0,4,6725,0.065221,a10_u5_p5_mi2.0
10,5,5,1.000000,1.000000,0.894737,0.944444,34,0,4,6722,0.065192,a10_u5_p5_mi1.0
10,5,10,-1.000000,1.000000,0.894737,0.944444,34,0,4,6642,0.064416,a10_u5_p10_mioff
10,5,10,2.000000,1.000000,0.894737,0.944444,34,0,4,6692,0.064901,a10_u5_p10_mi2.0
10,5,10,1.000000,1.000000,0.894737,0.944444,34,0,4,6683,0.064814,a10_u5_p10_mi1.0
10,5,15,-1.000000,1.000000,0.894737,0.944444,34,0,4,5913,0.057346,a10_u5_p15_mioff
10,5,15,2.000000,1.000000,0.894737,0.944444,34,0,4,5977,0.057967,a10_u5_p15_mi2.0
10,5,15,1.000000,1.000000,0.894737,0.944444,34,0,4,5957,0.057773,a10_u5_p15_mi1.0
10,10,5,-1.000000,1.000000,0.894737,0.944444,34,0,4,6680,0.064785,a10_u10_p5_mioff
10,10,5,2.000000,1.000000,0.894737,0.944444,34,0,4,6725,0.065221,a10_u10_p5_mi2.0
10,10,5,1.000000,1.000000,0.894737,0.944444,34,0,4,6722,0.065192,a10_u10_p5_mi1.0
10,10,10,-1.000000,1.000000,0.894737,0.944444,34,0,4,6568,0.063698,a10_u10_p10_mioff
10,10,10,2.000000,1.000000,0.894737,0.944444,34,0,4,6620,0.064203,a10_u10_p10_mi2.0
10,10,10,1.000000,1.000000,0.894737,0.944444,34,0,4,6610,0.064106,a10_u10_p10_mi1.0
10,10,15,-1.000000,1.000000,0.894737,0.944444,34,0,4,5668,0.054970,a10_u10_p15_mioff
10,10,15,2.000000,1.000000,0.894737,0.944444,34,0,4,5742,0.055688,a10_u10_p15_mi2.0
10,10,15,1.000000,1.000000,0.894737,0.944444,34,0,4,5718,0.055455,a10_u10_p15_mi1.0
10,15,5,-1.000000,1.000000,0.894737,0.944444,34,0,4,6680,0.064785,a10_u15_p5_mioff
10,15,5,2.000000,1.000000,0.894737,0.944444,34,0,4,6725,0.065221,a10_u15_p5_mi2.0
10,15,5,1.000000,1.000000,0.894737,0.944444,34,0,4,6722,0.065192,a10_u15_p5_mi1.0
10,15,10,-1.000000,1.000000,0.894737,0.944444,34,0,4,6519,0.063223,a10_u15_p10_mioff
10,15,10,2.000000,1.000000,0.894737,0.944444,34,0,4,6571,0.063727,a10_u15_p10_mi2.0
10,15,10,1.000000,1.000000,0.894737,0.944444,34,0,4,6561,0.063630,a10_u15_p10_mi1.0
10,15,15,-1.000000,1.000000,0.868421,0.929577,33,0,5,5066,0.049132,a10_u15_p15_mioff
10,15,15,2.000000,1.000000,0.868421,0.929577,33,0,5,5140,0.049849,a10_u15_p15_mi2.0
10,15,15,1.000000,1.000000,0.868421,0.929577,33,0,5,5116,0.049616,a10_u15_p15_mi1.0
15,5,5,-1.000000,1.000000,0.868421,0.929577,33,0,5,5250,0.050916,a15_u5_p5_mioff
15,5,5,2.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u5_p5_mi2.0
15,5,5,1.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u5_p5_mi1.0
15,5,10,-1.000000,1.000000,0.868421,0.929577,33,0,5,5250,0.050916,a15_u5_p10_mioff
15,5,10,2.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u5_p10_mi2.0
15,5,10,1.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u5_p10_mi1.0
15,5,15,-1.000000,1.000000,0.868421,0.929577,33,0,5,5234,0.050761,a15_u5_p15_mioff
15,5,15,2.000000,1.000000,0.868421,0.929577,33,0,5,5267,0.051081,a15_u5_p15_mi2.0
15,5,15,1.000000,1.000000,0.868421,0.929577,33,0,5,5264,0.051052,a15_u5_p15_mi1.0
15,10,5,-1.000000,1.000000,0.868421,0.929577,33,0,5,5249,0.050906,a15_u10_p5_mioff
15,10,5,2.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u10_p5_mi2.0
15,10,5,1.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u10_p5_mi1.0
15,10,10,-1.000000,1.000000,0.868421,0.929577,33,0,5,5248,0.050897,a15_u10_p10_mioff
15,10,10,2.000000,1.000000,0.868421,0.929577,33,0,5,5278,0.051188,a15_u10_p10_mi2.0
15,10,10,1.000000,1.000000,0.868421,0.929577,33,0,5,5278,0.051188,a15_u10_p10_mi1.0
15,10,15,-1.000000,1.000000,0.868421,0.929577,33,0,5,5198,0.050412,a15_u10_p15_mioff
15,10,15,2.000000,1.000000,0.868421,0.929577,33,0,5,5234,0.050761,a15_u10_p15_mi2.0
15,10,15,1.000000,1.000000,0.868421,0.929577,33,0,5,5230,0.050722,a15_u10_p15_mi1.0
15,15,5,-1.000000,1.000000,0.868421,0.929577,33,0,5,5249,0.050906,a15_u15_p5_mioff
15,15,5,2.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u15_p5_mi2.0
15,15,5,1.000000,1.000000,0.868421,0.929577,33,0,5,5279,0.051197,a15_u15_p5_mi1.0
15,15,10,-1.000000,1.000000,0.868421,0.929577,33,0,5,5247,0.050887,a15_u15_p10_mioff
15,15,10,2.000000,1.000000,0.868421,0.929577,33,0,5,5277,0.051178,a15_u15_p10_mi2.0
15,15,10,1.000000,1.000000,0.868421,0.929577,33,0,5,5277,0.051178,a15_u15_p10_mi1.0
15,15,15,-1.000000,1.000000,0.868421,0.929577,33,0,5,5066,0.049132,a15_u15_p15_mioff
15,15,15,2.000000,1.000000,0.868421,0.929577,33,0,5,5102,0.049481,a15_u15_p15_mi2.0
15,15,15,1.000000,1.000000,0.868421,0.929577,33,0,5,5098,0.049442,a15_u15_p15_mi1.0
20,5,5,-1.000000,1.000000,0.842105,0.914286,32,0,6,3959,0.038396,a20_u5_p5_mioff
20,5,5,2.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u5_p5_mi2.0
20,5,5,1.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u5_p5_mi1.0
20,5,10,-1.000000,1.000000,0.842105,0.914286,32,0,6,3959,0.038396,a20_u5_p10_mioff
20,5,10,2.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u5_p10_mi2.0
20,5,10,1.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u5_p10_mi1.0
20,5,15,-1.000000,1.000000,0.842105,0.914286,32,0,6,3957,0.038376,a20_u5_p15_mioff
20,5,15,2.000000,1.000000,0.842105,0.914286,32,0,6,3984,0.038638,a20_u5_p15_mi2.0
20,5,15,1.000000,1.000000,0.842105,0.914286,32,0,6,3984,0.038638,a20_u5_p15_mi1.0
20,10,5,-1.000000,1.000000,0.842105,0.914286,32,0,6,3959,0.038396,a20_u10_p5_mioff
20,10,5,2.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u10_p5_mi2.0
20,10,5,1.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u10_p5_mi1.0
20,10,10,-1.000000,1.000000,0.842105,0.914286,32,0,6,3959,0.038396,a20_u10_p10_mioff
20,10,10,2.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u10_p10_mi2.0
20,10,10,1.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u10_p10_mi1.0
20,10,15,-1.000000,1.000000,0.842105,0.914286,32,0,6,3945,0.038260,a20_u10_p15_mioff
20,10,15,2.000000,1.000000,0.842105,0.914286,32,0,6,3972,0.038522,a20_u10_p15_mi2.0
20,10,15,1.000000,1.000000,0.842105,0.914286,32,0,6,3972,0.038522,a20_u10_p15_mi1.0
20,15,5,-1.000000,1.000000,0.842105,0.914286,32,0,6,3959,0.038396,a20_u15_p5_mioff
20,15,5,2.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u15_p5_mi2.0
20,15,5,1.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u15_p5_mi1.0
20,15,10,-1.000000,1.000000,0.842105,0.914286,32,0,6,3959,0.038396,a20_u15_p10_mioff
20,15,10,2.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u15_p10_mi2.0
20,15,10,1.000000,1.000000,0.842105,0.914286,32,0,6,3986,0.038657,a20_u15_p10_mi1.0
20,15,15,-1.000000,1.000000,0.842105,0.914286,32,0,6,3944,0.038250,a20_u15_p15_mioff
20,15,15,2.000000,1.000000,0.842105,0.914286,32,0,6,3971,0.038512,a20_u15_p15_mi2.0
20,15,15,1.000000,1.000000,0.842105,0.914286,32,0,6,3971,0.038512,a20_u15_p15_mi1.0
30,5,5,-1.000000,1.000000,0.605263,0.754098,23,0,15,2490,0.024149,a30_u5_p5_mioff
30,5,5,2.000000,1.000000,0.605263,0.754098,23,0,15,2491,0.024158,a30_u5_p5_mi2.0
30,5,5,1.000000,1.000000,0.605263,0.754098,23,0,15,2491,0.024158,a30_u5_p5_mi1.0
30,5,10,-1.000000,1.000000,0.605263,0.754098,23,0,15,2490,0.024149,a30_u5_p10_mioff
30,5,10,2.000000,1.000000,0.605263,0.754098,23,0,15,2491,0.024158,a30_u5_p10_mi2.0
