attempts_ge,unique_users_ge,unique_passwords_ge,max_mean_interarrival_s,sample_precision,sample_recall,sample_f1,sample_tp,sample_fp,sample_fn,alerts_full_count,alerts_full_rate,label_text,profile
30,10,15,-1,1,0.605263158,0.754098361,23,0,15,2478,0.024032353,a30_u10_p15_mioff,alerting
30,15,15,-1,1,0.605263158,0.754098361,23,0,15,2478,0.024032353,a30_u15_p15_mioff,alerting
30,10,15,2,1,0.605263158,0.754098361,23,0,15,2479,0.024042052,a30_u10_p15_mi2.0,alerting
30,10,15,1,1,0.605263158,0.754098361,23,0,15,2479,0.024042052,a30_u10_p15_mi1.0,alerting
30,15,15,2,1,0.605263158,0.754098361,23,0,15,2479,0.024042052,a30_u15_p15_mi2.0,alerting
30,15,15,1,1,0.605263158,0.754098361,23,0,15,2479,0.024042052,a30_u15_p15_mi1.0,alerting
30,5,15,-1,1,0.605263158,0.754098361,23,0,15,2489,0.024139035,a30_u5_p15_mioff,alerting
30,5,5,-1,1,0.605263158,0.754098361,23,0,15,2490,0.024148733,a30_u5_p5_mioff,alerting
30,5,10,-1,1,0.605263158,0.754098361,23,0,15,2490,0.024148733,a30_u5_p10_mioff,alerting
30,5,15,2,1,0.605263158,0.754098361,23,0,15,2490,0.024148733,a30_u5_p15_mi2.0,alerting
10,5,5,-1,1,0.894736842,0.944444444,34,0,4,6681,0.064794251,a10_u5_p5_mioff,triage
10,5,5,2,1,0.894736842,0.944444444,34,0,4,6725,0.065220975,a10_u5_p5_mi2.0,triage
10,5,5,1,1,0.894736842,0.944444444,34,0,4,6722,0.065191881,a10_u5_p5_mi1.0,triage
10,5,10,-1,1,0.894736842,0.944444444,34,0,4,6642,0.064416018,a10_u5_p10_mioff,triage
10,5,10,2,1,0.894736842,0.944444444,34,0,4,6692,0.064900932,a10_u5_p10_mi2.0,triage
10,5,10,1,1,0.894736842,0.944444444,34,0,4,6683,0.064813647,a10_u5_p10_mi1.0,triage
10,5,15,-1,1,0.894736842,0.944444444,34,0,4,5913,0.057345967,a10_u5_p15_mioff,triage
10,5,15,2,1,0.894736842,0.944444444,34,0,4,5977,0.057966657,a10_u5_p15_mi2.0,triage
10,5,15,1,1,0.894736842,0.944444444,34,0,4,5957,0.057772692,a10_u5_p15_mi1.0,triage
10,10,5,-1,1,0.894736842,0.944444444,34,0,4,6680,0.064784553,a10_u10_p5_mioff,triage
